Column1,Sentiment,RealSentiment,TweetID,Date,Query,User,Tweet,VADER_Score,VADER_Compound,VADER_Sentiment,SentiStrengthSentiment,SentiStrengthScore,BERTSentiment,BERTDetails,BERTSentiment1,BERTDetails1,BERTSentiment2,BERTDetails2
236,4,Positive,627,Wed Jun 10 05:24:26 UTC 2009,google,ManiKarthik,@ArunBasilLal I love Google Translator too ! :D Good day mate !,"{'neg': 0.0, 'neu': 0.434, 'pos': 0.566, 'compound': 0.9139}",0.9139,Positive,Positive,3,Negative,"tensor([[-0.2918, -0.7860,  0.0461]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0999, -0.8476,  0.9948]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3742, -0.1691,  0.3314]], grad_fn=<AddmmBackward>)"
237,4,Positive,1002,Mon May 11 03:17:54 UTC 2009,kindle2,jhall515,reading on my new Kindle2!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Positive,1,Positive,"tensor([[-0.5992, -0.7066,  0.1416]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0881, -0.4224,  0.2087]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1655,  0.1574, -0.2851]], grad_fn=<AddmmBackward>)"
238,4,Positive,1003,Mon May 11 03:18:59 UTC 2009,kindle2,HappyWino,My Kindle2 came and I LOVE it! :),"{'neg': 0.0, 'neu': 0.422, 'pos': 0.578, 'compound': 0.8491}",0.8491,Positive,Positive,3,Positive,"tensor([[-0.4798, -0.6809,  0.0475]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.6626, -0.0015, -0.0557]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0112, -0.2057,  0.5059]], grad_fn=<AddmmBackward>)"
239,4,Positive,1004,Mon May 11 03:21:50 UTC 2009,kindle2,Teaguem2005,"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR!","{'neg': 0.041, 'neu': 0.625, 'pos': 0.335, 'compound': 0.9156}",0.9156,Positive,Positive,1,Positive,"tensor([[ 0.0188, -1.3780, -0.3427]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2071, -0.8033,  0.3589]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.2351,  0.1763, -0.0165]], grad_fn=<AddmmBackward>)"
240,0,Negative,1005,Mon May 11 03:22:24 UTC 2009,aig,dailysourcedev,The real AIG scandal / http://bit.ly/b82Px,"{'neg': 0.367, 'neu': 0.633, 'pos': 0.0, 'compound': -0.4404}",-0.4404,Negative,Negative,-2,Positive,"tensor([[-0.5115, -0.8582,  0.0547]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4601, -1.0596,  0.0578]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3491, -0.2946,  0.0105]], grad_fn=<AddmmBackward>)"
241,2,Neutral,1006,Mon May 11 03:27:20 UTC 2009,twitter,gandhirama,Any twitter to aprs apps yet?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Neutral,"tensor([[-0.6261, -0.2483, -0.2393]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.1209, -0.0624,  0.5845]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4279,  0.2175,  0.0693]], grad_fn=<AddmmBackward>)"
242,2,Neutral,1007,Mon May 11 03:27:58 UTC 2009,twitter,delpop,45 Pros You Should Be Following on Twitter - http://is.gd/sMbZ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[ 0.2152, -0.1432,  0.0465]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3162, -0.1337,  0.3664]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.3068, 0.0742, 0.5116]], grad_fn=<AddmmBackward>)"
243,4,Positive,1008,Mon May 11 03:29:01 UTC 2009,obama,lingbellbell,Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.9301}",0.9301,Positive,Positive,2,Positive,"tensor([[-0.7385, -0.0901, -0.0829]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0969, -0.5640,  0.1028]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0923, -0.0363,  0.4679]], grad_fn=<AddmmBackward>)"
244,4,Positive,1009,Mon May 11 03:29:38 UTC 2009,obama,motsandco,"' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !! Great speech..","{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.8217}",0.8217,Positive,Positive,2,Positive,"tensor([[-0.7157, -0.2417, -0.7630]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.5660, -0.4923,  0.5644]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1900,  0.2892, -0.2342]], grad_fn=<AddmmBackward>)"
245,4,Positive,1010,Mon May 11 03:29:41 UTC 2009,obama,mickou,"I like this guy : ' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !!","{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.717}",0.717,Positive,Positive,1,Positive,"tensor([[-0.5365, -0.2781, -0.3879]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4440, -0.6967,  0.6025]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.2618, 0.2996, 0.3984]], grad_fn=<AddmmBackward>)"
246,4,Positive,1011,Mon May 11 03:32:35 UTC 2009,obama,meggentile,Obama's speech was pretty awesome last night! http://bit.ly/IMXUM,"{'neg': 0.0, 'neu': 0.441, 'pos': 0.559, 'compound': 0.8221}",0.8221,Positive,Positive,4,Positive,"tensor([[-0.1441, -0.2012,  0.1127]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.2191, -0.3011,  0.9770]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3041, -0.3791,  0.1993]], grad_fn=<AddmmBackward>)"
247,4,Positive,1012,Mon May 11 03:33:05 UTC 2009,obama,failness,"Reading  ""Bill Clinton Fail - Obama Win?"" http://tinyurl.com/pcyxj7","{'neg': 0.263, 'neu': 0.451, 'pos': 0.286, 'compound': 0.0772}",0.0772,Positive,Neutral,0,Positive,"tensor([[-0.3888, -0.9492,  0.1703]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1421, -0.2048,  0.3828]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4403,  0.2273, -0.0541]], grad_fn=<AddmmBackward>)"
248,4,Positive,1013,Mon May 11 03:33:43 UTC 2009,obama,kledy,Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.7346}",0.7346,Positive,Positive,1,Negative,"tensor([[-0.2239, -1.0072, -0.1670]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4390, -0.6069,  0.0049]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0841, -0.3752,  0.4579]], grad_fn=<AddmmBackward>)"
249,4,Positive,1014,Mon May 11 03:34:04 UTC 2009,obama,LaurelEdelstein,Obama's got JOKES!! haha just got to watch a bit of his after dinner speech from last night... i'm in love with mr. president ;),"{'neg': 0.0, 'neu': 0.628, 'pos': 0.372, 'compound': 0.9084}",0.9084,Positive,Positive,2,Positive,"tensor([[ 0.1960, -0.5118, -0.2240]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3040, -0.4516,  0.8399]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4562,  0.3175,  0.4535]], grad_fn=<AddmmBackward>)"
250,0,Negative,1015,Mon May 11 05:19:58 UTC 2009,lebron,chelseabigass,LEbron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? http://twtad.com/69750,"{'neg': 0.118, 'neu': 0.798, 'pos': 0.084, 'compound': -0.2263}",-0.2263,Negative,Positive,1,Positive,"tensor([[-0.8935, -0.3325, -0.0396]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0804, -0.3977,  0.4192]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1963, -0.3179,  0.6934]], grad_fn=<AddmmBackward>)"
251,4,Positive,1016,Mon May 11 05:20:22 UTC 2009,lebron,Smitty478,is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.6369}",0.6369,Positive,Positive,1,Positive,"tensor([[-0.9975, -0.4458, -0.3143]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2621, -0.2475,  0.3803]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1334, -0.1304,  0.9060]], grad_fn=<AddmmBackward>)"
252,4,Positive,1017,Mon May 11 05:20:41 UTC 2009,lebron,PurpleGorillaZz,"@khalid0456 No, Lebron is the best","{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",0.6369,Positive,Positive,1,Positive,"tensor([[-0.5842, -0.4135, -0.2962]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.9433, -0.2809,  0.5014]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4677,  0.0260,  0.4559]], grad_fn=<AddmmBackward>)"
253,4,Positive,1018,Mon May 11 05:20:48 UTC 2009,lebron,MsStacha,@the_real_usher LeBron is cool.  I like his personality...he has good character.,"{'neg': 0.0, 'neu': 0.51, 'pos': 0.49, 'compound': 0.7717}",0.7717,Positive,Positive,1,Negative,"tensor([[-0.9587, -0.7435, -0.0140]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1861, -0.6471,  0.5821]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.8019, -0.0389, -0.0488]], grad_fn=<AddmmBackward>)"
254,4,Positive,1019,Mon May 11 05:21:25 UTC 2009,lebron,undefeated310,Watching Lebron highlights. Damn that niggas good,"{'neg': 0.425, 'neu': 0.333, 'pos': 0.242, 'compound': -0.296}",-0.296,Negative,Neutral,0,Positive,"tensor([[ 0.3574, -0.3524, -0.0568]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1479, -0.5163, -0.2293]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-1.0342, -0.1222, -0.0801]], grad_fn=<AddmmBackward>)"
255,4,Positive,1020,Mon May 11 05:21:57 UTC 2009,lebron,BI_POLAROID,@Lou911 Lebron is MURDERING shit.,"{'neg': 0.742, 'neu': 0.258, 'pos': 0.0, 'compound': -0.8636}",-0.8636,Negative,Negative,-3,Positive,"tensor([[-0.6010, -1.3548, -0.2508]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2407, -0.5177,  0.2059]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2091, -0.0866,  0.6294]], grad_fn=<AddmmBackward>)"
256,4,Positive,1021,Mon May 11 05:22:06 UTC 2009,lebron,IAmNoeAngel,@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.,"{'neg': 0.283, 'neu': 0.717, 'pos': 0.0, 'compound': -0.6301}",-0.6301,Negative,Neutral,0,Positive,"tensor([[-0.7771, -1.2569,  0.1501]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0392, -1.1539,  0.1622]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2857, -0.1901,  0.8530]], grad_fn=<AddmmBackward>)"
257,4,Positive,1022,Mon May 11 05:22:26 UTC 2009,lebron,ksmedia,@cthagod when Lebron is done in the NBA he will probably be greater than Kobe. Like u said Kobe is good but there alot of 'good' players.,"{'neg': 0.0, 'neu': 0.712, 'pos': 0.288, 'compound': 0.8074}",0.8074,Positive,Positive,2,Neutral,"tensor([[-0.8978, -1.0863, -0.1375]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.8682, -0.1557,  0.2914]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.0403, 0.0027, 0.3650]], grad_fn=<AddmmBackward>)"
258,4,Positive,1023,Mon May 11 05:22:40 UTC 2009,lebron,PrEttIBoIGaRy,KOBE IS GOOD BT LEBRON HAS MY VOTE,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,Positive,Positive,1,Neutral,"tensor([[-0.1848, -0.8780, -0.7459]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 1.0620, -0.5957,  0.2215]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3306,  0.1397, -0.3870]], grad_fn=<AddmmBackward>)"
259,0,Negative,1024,Mon May 11 05:22:51 UTC 2009,lebron,kellan38,Kobe is the best in the world not lebron .,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6369}",0.6369,Positive,Positive,1,Positive,"tensor([[-0.4063, -0.6727, -0.2687]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.3207, -0.6669,  0.0758]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.2186, -0.2105, -0.1728]], grad_fn=<AddmmBackward>)"
260,4,Positive,1025,Mon May 11 05:52:44 UTC 2009,world cup,jsincere150,"@asherroth World Cup 2010 Access?? Damn, that's a good look!","{'neg': 0.189, 'neu': 0.561, 'pos': 0.249, 'compound': 0.2148}",0.2148,Positive,Positive,1,Negative,"tensor([[ 0.0218, -0.6140, -0.1900]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.6265, -0.3063,  0.3289]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.8595,  0.2637,  0.1103]], grad_fn=<AddmmBackward>)"
261,4,Positive,1026,Mon May 11 05:53:33 UTC 2009,world cup 2010,biren,Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI,"{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.6249}",0.6249,Positive,Positive,2,Positive,"tensor([[-0.8008, -0.5094, -0.4225]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.8219, -0.4075,  1.0354]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1519, -0.1175, -0.0211]], grad_fn=<AddmmBackward>)"
262,2,Neutral,1031,Mon May 11 19:49:06 UTC 2009,fred wilson,DoAndroidsDream,Share: Disruption...Fred Wilson's slides for his talk at Google HQ  http://bit.ly/Bo8PG,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}",0.296,Positive,Neutral,0,Negative,"tensor([[-0.2379, -1.2828, -0.0371]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0231, -0.3979,  0.7056]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2272,  0.5275,  0.0549]], grad_fn=<AddmmBackward>)"
263,0,Negative,2010,Thu May 14 02:58:11 UTC 2009,"""booz allen""",Moc5085,I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :),"{'neg': 0.078, 'neu': 0.762, 'pos': 0.16, 'compound': 0.4678}",0.4678,Positive,Neutral,0,Positive,"tensor([[-0.5684, -0.6897, -0.5414]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0705, -0.1310,  0.6700]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3881, -0.0631,  0.6039]], grad_fn=<AddmmBackward>)"
264,4,Positive,2011,Thu May 14 03:41:01 UTC 2009,indian election,citizenofindia,"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election.","{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.7906}",0.7906,Positive,Positive,2,Positive,"tensor([[-0.5996, -0.2471, -0.0267]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.2302, -0.9046,  0.2212]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2928, -0.2475,  0.6630]], grad_fn=<AddmmBackward>)"
265,4,Positive,2012,Thu May 14 05:23:32 UTC 2009,kindle2,Melonze,"@crlane I have the Kindle2. I've seen pictures of the DX, but haven't seen it in person. I love my Kindle - I'm on it everyday.","{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.7783}",0.7783,Positive,Positive,2,Positive,"tensor([[-0.3138, -0.8817, -0.4602]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.4965, -0.3453,  0.3029]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.7120,  0.1314,  0.6718]], grad_fn=<AddmmBackward>)"
266,4,Positive,2013,Thu May 14 05:24:33 UTC 2009,kindle2,SPReviews,@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF,"{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.6249}",0.6249,Positive,Positive,2,Negative,"tensor([[-0.5076, -0.7237, -0.2028]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4315, -0.4377,  0.4106]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3518, -0.1528,  0.2520]], grad_fn=<AddmmBackward>)"
267,2,Neutral,2014,Thu May 14 05:25:08 UTC 2009,40d,ha_nobita,ok.. do nothing.. just thinking about 40D,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.6700, -0.8721,  0.1460]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3628, -0.4266,  0.6356]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.0103, 0.1126, 0.6069]], grad_fn=<AddmmBackward>)"
268,4,Positive,2015,Thu May 14 05:26:03 UTC 2009,40d,Jen2Squared,"@faithbabywear Ooooh, what model are you getting??? I have the 40D and LOVE LOVE LOVE LOVE it!","{'neg': 0.0, 'neu': 0.387, 'pos': 0.613, 'compound': 0.9737}",0.9737,Positive,Positive,4,Positive,"tensor([[-0.4594, -0.8833, -0.4401]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1548, -0.2817,  0.7289]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.0325, 0.0314, 0.0447]], grad_fn=<AddmmBackward>)"
269,4,Positive,2018,Fri May 15 06:45:54 UTC 2009,india election,__new,The Times of India: The wonder that is India's election. http://bit.ly/p7u1H,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.2484, -0.1282, -0.1083]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0527, -1.0002,  0.2967]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.2074, 0.4285, 0.4970]], grad_fn=<AddmmBackward>)"
270,4,Positive,2080,Sat May 16 16:18:47 UTC 2009,google,BillVick,http://is.gd/ArUJ Good video from Google on using search options.,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",0.4404,Positive,Neutral,0,Negative,"tensor([[-0.4056, -0.6092,  0.2471]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3888, -0.7929,  0.3899]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0931, -0.0564,  0.3156]], grad_fn=<AddmmBackward>)"
271,0,Negative,2083,Sat May 16 22:42:21 UTC 2009,itchy,xmikeflhxcx,@ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing.,"{'neg': 0.467, 'neu': 0.364, 'pos': 0.17, 'compound': -0.5994}",-0.5994,Negative,Neutral,0,Negative,"tensor([[-0.5920, -0.8724, -0.1128]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1483, -0.4847,  0.4906]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0713,  0.0576,  0.0167]], grad_fn=<AddmmBackward>)"
272,0,Negative,2084,Sat May 16 22:42:40 UTC 2009,itchy,Timl9068,itchy back!! dont ya hate it!,"{'neg': 0.211, 'neu': 0.401, 'pos': 0.388, 'compound': 0.4164}",0.4164,Positive,Negative,-3,Positive,"tensor([[-0.7509, -1.0105, -0.4013]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4047, -0.3988,  0.0533]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1543,  0.1984,  0.8275]], grad_fn=<AddmmBackward>)"
273,4,Positive,2085,Sat May 16 23:48:10 UTC 2009,stanford,PassionModel,Stanford Charity Fashion Show a top draw http://cli.gs/NeNuAH,"{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.5574}",0.5574,Positive,Neutral,0,Positive,"tensor([[-0.1295, -0.3226,  0.0522]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0976, -0.6315,  0.9238]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3257, -0.3783,  0.2924]], grad_fn=<AddmmBackward>)"
274,4,Positive,2086,Sat May 16 23:48:38 UTC 2009,stanford,TechUpdater,Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.4754}",0.4754,Positive,Neutral,0,Positive,"tensor([[-0.8007, -0.8513, -0.4587]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0457, -0.1543,  0.7330]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1331, -0.0093,  0.1011]], grad_fn=<AddmmBackward>)"
275,4,Positive,2087,Sat May 16 23:58:44 UTC 2009,lyx,robotickilldozr,Lyx is cool.,"{'neg': 0.0, 'neu': 0.465, 'pos': 0.535, 'compound': 0.3182}",0.3182,Positive,Positive,1,Negative,"tensor([[-0.4181, -0.6732,  0.0658]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1371, -0.4480,  0.2809]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.3133, 0.2708, 0.8647]], grad_fn=<AddmmBackward>)"
276,4,Positive,2093,Sun May 17 15:04:50 UTC 2009,Danny Gokey,TheDALiSiA,SOOO DISSAPOiNTED THEY SENT DANNY GOKEY HOME... YOU STiLL ROCK ...DANNY ... MY HOMETOWN HERO !! YEAH MiLROCKEE!!,"{'neg': 0.0, 'neu': 0.655, 'pos': 0.345, 'compound': 0.8568}",0.8568,Positive,Positive,3,Positive,"tensor([[-0.4926, -1.1635, -0.2079]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.5014, -0.7755,  0.3508]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.2820, 0.1724, 0.4624]], grad_fn=<AddmmBackward>)"
277,4,Positive,2094,Sun May 17 15:04:55 UTC 2009,Danny Gokey,fashion_retweet,"RT @PassionModel 'American Idol' fashion: Adam Lambert tones down, Danny Gokey cute ... http://cli.gs/7JWSHV","{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.4588}",0.4588,Positive,Positive,1,Positive,"tensor([[-0.4143, -0.3203,  0.0894]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.6467, -0.4479,  0.4782]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.1091, 0.0522, 0.3257]], grad_fn=<AddmmBackward>)"
278,4,Positive,2095,Sun May 17 15:05:07 UTC 2009,Danny Gokey,angelkim17,@dannygokey I love you DANNY GOKEY!! :),"{'neg': 0.0, 'neu': 0.391, 'pos': 0.609, 'compound': 0.8309}",0.8309,Positive,Positive,3,Negative,"tensor([[-0.6589, -0.4406,  0.3333]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.7437, -0.2696,  0.3950]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.5502, -0.5183,  0.1125]], grad_fn=<AddmmBackward>)"
279,2,Neutral,2096,Sun May 17 15:10:58 UTC 2009,gm,download11,RT @justindavey: RT @tweetmeme GM OnStar now instantly sends accident location coordinates to 911 | GPS Obsessed http://bit.ly/16szL1,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5859}",-0.5859,Negative,Negative,-1,Positive,"tensor([[-0.5455, -0.8508,  0.0559]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.4329, 0.1741, 0.6594]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3028,  0.2150,  1.2135]], grad_fn=<AddmmBackward>)"
280,0,Negative,2097,Sun May 17 17:27:54 UTC 2009,sleep,nichole17,so tired. i didn't sleep well at all last night.,"{'neg': 0.385, 'neu': 0.615, 'pos': 0.0, 'compound': -0.6133}",-0.6133,Negative,Negative,-1,Positive,"tensor([[-0.0506, -0.0395, -0.1933]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3888, -0.4800,  0.6678]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1830, -0.3198,  0.2256]], grad_fn=<AddmmBackward>)"
281,0,Negative,2098,Sun May 17 17:29:05 UTC 2009,san francisco,xstaylor,Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.3578, -0.6399,  0.3745]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.3028, -0.5474,  0.4235]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.0643, 0.0287, 0.3048]], grad_fn=<AddmmBackward>)"
282,0,Negative,2099,Sun May 17 17:29:41 UTC 2009,san francisco,miwahh,bonjour San Francisco. My back hurts from last night..,"{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative,Negative,-2,Positive,"tensor([[-0.7643, -0.8910, -0.5461]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3692, -0.3076,  0.6626]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1985, -0.4733,  0.0083]], grad_fn=<AddmmBackward>)"
283,2,Neutral,2100,Sun May 17 17:30:03 UTC 2009,san francisco,bKnapp,"breakers. in San Francisco, CA http://loopt.us/4v88Bw.t","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.3391, -0.4555, -0.6612]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1206, -0.7545,  0.2491]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2910, -0.1315,  0.1104]], grad_fn=<AddmmBackward>)"
284,2,Neutral,2101,Sun May 17 17:30:25 UTC 2009,san francisco,rayceja,Heading to San Francisco,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[ 0.2227, -0.1947, -0.0811]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2550, -0.3644,  0.5179]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.1060, 0.1327, 0.2204]], grad_fn=<AddmmBackward>)"
285,4,Positive,2102,Sun May 17 17:30:48 UTC 2009,san francisco,deepikaC,With my best girl for a few more hours in San francisco. Mmmmmfamily is wonderful!,"{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.8478}",0.8478,Positive,Positive,3,Positive,"tensor([[-0.7466, -0.9780,  0.2010]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0427, -0.4736,  0.4441]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2096, -0.1390,  0.0734]], grad_fn=<AddmmBackward>)"
