Unnamed: 0,Text,Sentiment,BERTSentiment_kFold,BERTDetails_kFold,BERTSentiment_8020,BERTDetails_8020,VADER_Score,VADER_Compound,VADER_Sentiment
904,"According to latest information , Benefon will launch its Twig device on 20 September 2006 .",neutral,Neutral,"tensor([[-0.0144, -0.4632, -0.4560]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1789,  0.6909, -0.1335]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
905,He will report to CapMan Plc 's CEO Heikki Westerlund .,neutral,Neutral,"tensor([[-0.0329, -0.6983, -0.2791]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.7023,  0.7509,  0.1198]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
906,The price will be specified at the completion date .,neutral,Neutral,"tensor([[-0.4560,  0.0424, -0.4725]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1085,  0.0482, -0.3843]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
907,A total of $ 78 million will be invested in the project .,neutral,Neutral,"tensor([[-0.5806, -0.5334, -0.4328]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0347,  0.2330, -0.7828]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
908,"Finnish IT consultancy Satama Interactive Oyj said on November 13 , 2006 that Jarmo Lonnfors took up the position of CEO .",neutral,Neutral,"tensor([[-0.5405, -0.1537, -0.2271]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1468,  0.4612,  0.0140]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
909,"` Nordea 's definitely too big for Sampo to acquire , ' said an analyst ` But Sampo would appear to have an agenda for Nordea ahead of the privatisation .",neutral,Neutral,"tensor([[-0.3815, -0.4502, -0.4338]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.0928, 0.4824, 0.5053]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.2144}",0.2144,Positive
910,`` There is no room to modify the share component as we have already indicated . '',neutral,Neutral,"tensor([[ 0.1439, -0.0480, -0.9293]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.2396, 0.0879, 0.3702]], grad_fn=<AddmmBackward>)","{'neg': 0.113, 'neu': 0.773, 'pos': 0.113, 'compound': 0.0}",0.0,Neutral
911,`` We could be there .,neutral,Neutral,"tensor([[-0.4301,  0.1824,  0.2857]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5978,  0.2923,  0.2202]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
912,"1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya , Building 1 Telephone : 495 777-34-77 ext. 3932 , 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place .",neutral,Negative,"tensor([[-0.2795,  0.0830, -0.1779]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2226,  0.3349, -0.3895]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
913,"128,538 shares can still be subscribed for with Series E share options , max .",neutral,Neutral,"tensor([[ 0.1396, -0.0031, -0.3698]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1868,  0.5423, -0.0114]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.5267}",0.5267,Positive
914,"561,470 new shares under 2003 option rights plan Packaging company Huhtamaki Oyj reported on Monday that a total of 561,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan .",neutral,Negative,"tensor([[-0.5748, -0.1528, -0.7432]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0338,  0.5265,  0.1491]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.6808}",0.6808,Positive
915,"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",neutral,Neutral,"tensor([[-0.2444,  0.6402, -0.0521]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1316,  0.8560,  0.3832]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
916,A meeting of Glisten shareholders to vote on the bid will be held on 12 March .,neutral,Neutral,"tensor([[-0.3029, -0.0326, -0.6650]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3307,  0.0198, -0.5008]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
917,"A replay will be available until 27 October 2006 in the following numbers : US callers : +1 617-á801-á6888 , non-US callers : +44 20 7365 8427 , access code : 2659 5401 .",neutral,Positive,"tensor([[-0.6897, -0.1163, -0.1085]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.7792, 0.7768, 0.2498]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
918,"About 36 % of this came from Aspo Chemicals , 39 % from Aspo Shipping and 25 % from Aspo Systems .",neutral,Negative,"tensor([[-0.3947,  0.1446, -0.3127]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.4891, 0.5227, 0.3267]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
919,"About 72 % of Evraz Group shares are owned by Lanebrook , whose beneficiaries , on the one hand , are Millhouse , the holding company for the assets of billionaire Roman Abramovich and his business partners 50 % ; and Evraz executives Alexander Abramov and Alexander Frolov 50 % , on the other .",neutral,Neutral,"tensor([[-0.2780, -0.2533, -0.4224]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1318,  0.3238, -0.0012]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.836}",0.836,Positive
920,Aker Yards Finland will begin using Chinese subcontractors at its Finnish shipyards .,neutral,Neutral,"tensor([[-0.1228,  0.1446, -0.5708]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0904, -0.1549, -0.3926]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
921,Finnish food industry company L+ñnnen Tehtaat is planning changes to its fish product business .,neutral,Positive,"tensor([[-0.2689, -0.2149, -0.3083]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2514,  0.1094,  0.0352]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
922,"According to business media reports , Usmanov planned to transfer his MegaFon stake to the state-controlled Svyazinvest , in exchange for a stake in the merged RosTelecom .",neutral,Negative,"tensor([[-0.2178, -0.6448, -0.4266]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5105,  0.8327,  0.2193]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
923,"According to Gallup Food and Farm Facts , beef consumption totaled 99mn kilos in Finland in 2007 .",neutral,Positive,"tensor([[-0.6118,  0.0738, -0.3556]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2496,  0.0102, -0.3249]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
924,"According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest .",neutral,Negative,"tensor([[-0.4783, -0.0441, -0.1442]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5459,  0.1035,  0.3299]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
925,"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,Negative,"tensor([[ 0.0667,  0.4513, -0.3777]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1112, -0.0505,  0.5456]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
926,"According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of Tekla -¦ s shares and voting rights .",neutral,Negative,"tensor([[-0.6216, -0.0755, -0.8531]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3183,  0.1269,  0.1086]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.5688}",0.5688,Positive
927,"After the sale , Savcor Group Ltd will comprise Savcor ART , a corporate function and an investment in Cencorp Corporation .",neutral,Positive,"tensor([[ 0.2230, -0.4707, -0.5621]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2207,  0.4305,  0.0170]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
928,Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .,neutral,Neutral,"tensor([[-0.4236,  0.4107,  0.1044]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3163,  0.6252, -0.3064]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}",0.296,Positive
929,Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .,neutral,Neutral,"tensor([[-0.8894, -0.2208,  0.0911]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2357,  0.9639, -0.2736]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}",0.296,Positive
930,All YIT Capital Markets Day materials will be available on the company 's Internet site at www.yitgroup.com/investors at 10:30 on September 26 .,neutral,Neutral,"tensor([[-0.5416, -0.0228, -0.3792]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0873,  0.7610, -0.3206]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
931,"Alma Media holds 70 % of this company , the remaining shares being owned by the company 's key employees .",neutral,Neutral,"tensor([[ 0.1331,  0.0609, -0.0869]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3736,  0.5031, -0.0844]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.296}",0.296,Positive
932,Almost the entire office building will be occupied by Metso .,neutral,Neutral,"tensor([[-0.1638,  0.1583, -0.2450]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0132,  0.2567, -0.3772]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
933,Also the development of online businesses will continue .,neutral,Neutral,"tensor([[-0.4583, -0.0922, -0.7731]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.0014,  0.1266,  0.1209]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
934,As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy .,neutral,Negative,"tensor([[-0.0164, -0.1904, -0.2632]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2574,  0.1334, -0.1668]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.4939}",0.4939,Positive
935,"As an alternative to the share exchange , Panostaja offers a full cash consideration at the value of 1.27 euro $ 1.7 per share .",neutral,Neutral,"tensor([[-0.3946,  0.2247, -0.1106]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4327,  0.6294,  0.0178]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.7003}",0.7003,Positive
936,at 9:00 EET Alma Media 's Annual Report for 2009 is scheduled to be published in calendar week 9 .,neutral,Neutral,"tensor([[-0.3412, -0.2769, -0.0225]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.1152,  0.5073, -0.1668]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
937,"At end-August , Sampo was Nordea 's biggest shareholder with a 20.6 % stake , followed by the state with 19.9 % .",neutral,Negative,"tensor([[-0.5083, -0.4513, -0.3833]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2234,  0.2440,  0.2966]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
938,"At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions .",neutral,Negative,"tensor([[-0.0581, -0.3401, -0.1188]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.1856, 0.8292, 0.2596]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.1779}",0.1779,Positive
939,Autotank Group is part of Aspo 's Systems Division .,neutral,Neutral,"tensor([[-0.7398,  0.2410, -0.9768]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0971,  0.2709, -0.2923]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
940,"Before FKI , John Jiang has worked in several general manager or senior business consultant positions for international companies in China .",neutral,Negative,"tensor([[-0.0270, -0.1369, -0.4245]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.1080, 0.2534, 0.2535]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
941,"Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 .",neutral,Neutral,"tensor([[-0.7484, -0.2745, -0.8641]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0302,  0.4464, -0.4318]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.7003}",0.7003,Positive
942,"CapMan said the deal 's effect on its cash flow for 2009 totals EUR3 .4 m , but the transaction would not affect its financial results for 2009 as it was executed at fair value .",neutral,Positive,"tensor([[-0.3301, -0.3803,  0.1310]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4112,  0.5334,  0.8579]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.7227}",0.7227,Positive
943,Catalysts segment includes refinery catalysts and polyolefin catalysts product categories .,neutral,Neutral,"tensor([[-0.2578,  0.1766, -0.2168]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1808,  0.6778, -0.2180]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
944,"Componenta is a metal sector company with international operations and production plants located in Finland , the Netherlands , Sweden and Turkey .",neutral,Negative,"tensor([[-0.3106, -0.0050, -0.4840]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2343,  0.4722, -0.2603]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
945,"Consisting of seven interconnected units , Mega Image 's logistics center will be 347 metres in length and 12 metres in height .",neutral,Neutral,"tensor([[-0.2281, -0.1223, -0.5118]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0817,  0.6574,  0.2449]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
946,"Construction work on the Helsinki Music Centre is to start this autumn , with the total cost of the project estimated at 140 million euros .",neutral,Negative,"tensor([[-0.9525,  0.0553, -0.3265]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1360,  0.3072,  0.2843]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
947,COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limited,neutral,Neutral,"tensor([[ 0.1769,  0.3604, -0.5493]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1691,  0.1879,  0.0137]], grad_fn=<AddmmBackward>)","{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.2263}",-0.2263,Negative
948,"Cramo , headquartered in Vantaa , Finland , rents construction machinery and equipment , as well as rents and sells modular space .",neutral,Neutral,"tensor([[-0.4526, -0.1232, -0.6002]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0866,  0.0100, -0.1820]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.2732}",0.2732,Positive
949,Currency conversions are based on exchange rates at the time of the deal .,neutral,Negative,"tensor([[-0.2577,  0.3222, -0.2948]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.1204, 0.4980, 0.0214]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
950,"Currently the Terminator lures are produced in a subcontract facility in Mexico but the manufacturing will be transferred to Rapala 's factory in Shenzhen , China .",neutral,Neutral,"tensor([[-0.0962, -0.4532, -1.2551]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2530, -0.3449, -0.2976]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
951,"Destia Oy is a Finnish infrastructure and construction service company building , maintaining and designing traffic routes , industrial and traffic environments , but also complete living environments .",neutral,Negative,"tensor([[-0.5154,  0.6641, -0.2659]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.1882,  0.5551, -0.3849]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
952,"Digia will also set up two subsidiaries , Digia Norway AS and Digia USA Inc. .",neutral,Negative,"tensor([[-0.4188,  0.0211, -1.0618]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4088,  0.8797, -0.1161]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
953,Each share is entitled to one vote .,neutral,Negative,"tensor([[-0.6530,  0.2838, -0.6571]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4428, -0.1499, -0.1268]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.5106}",0.5106,Positive
954,Each year the dividend is deducted from the subscription price .,neutral,Neutral,"tensor([[-0.6261,  0.1861, -0.6883]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.5126, 0.2659, 0.7493]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
955,Earnings per share EPS amounted to EUR0 .01 .,neutral,Neutral,"tensor([[ 0.0816, -0.4735,  0.0156]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3332,  0.3256, -0.3917]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.296}",0.296,Positive
956,Elcoteq has a global network of After Market Service sites which have a long experience in serving Consumer Electronics and Systems Solutions customers .,neutral,Negative,"tensor([[-0.1374, -0.4090, -0.4194]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2668,  0.6918,  0.3422]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.931, 'pos': 0.069, 'compound': 0.1779}",0.1779,Positive
957,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,Positive,"tensor([[-0.7316,  0.5035, -0.5666]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2090,  0.2438,  0.4205]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
958,Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks .,neutral,Neutral,"tensor([[ 0.0841, -0.3225, -0.0195]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0222, -0.3992,  0.3863]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
959,"Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007 .",neutral,Neutral,"tensor([[ 0.0528,  0.1119, -0.4658]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4925,  0.6389,  0.3506]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
960,"Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .",neutral,Neutral,"tensor([[-0.5865,  0.3284, -0.3951]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.7125, -0.0926, -0.2717]], grad_fn=<AddmmBackward>)","{'neg': 0.037, 'neu': 0.963, 'pos': 0.0, 'compound': -0.0516}",-0.0516,Negative
961,"Ethanol would be made from barley , and production could start in 2008 .",neutral,Negative,"tensor([[ 0.0573,  0.0492, -0.7085]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5081,  0.3455,  0.1234]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
962,"EXEL COMPOSITES IN BRIEF Exel Composites is a technology company which designs , manufactures and markets composite profiles and tubes for industrial applications .",neutral,Negative,"tensor([[-0.3349, -0.1112, -0.8621]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4454,  0.2945, -0.0578]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
963,Exel is headquartered in Mantyharju in Finland .,neutral,Neutral,"tensor([[ 0.0303, -0.0284, -0.2846]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0295,  0.3320, -0.0037]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
964,Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving !,neutral,Negative,"tensor([[-0.3902,  0.0388, -0.5589]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.2586,  0.8032, -0.0101]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.669, 'pos': 0.331, 'compound': 0.7861}",0.7861,Positive
965,"Financial Statements include the consolidated financial statements of the Group , the Board of Directors ' Report , the Auditors ' Report and the Corporate Governance Statement .",neutral,Neutral,"tensor([[-0.2453,  0.2175, -0.4483]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.2374, 0.8360, 0.0717]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
966,"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,Positive,"tensor([[-0.0856, -0.4094, -0.7021]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2084,  0.0877, -0.2410]], grad_fn=<AddmmBackward>)","{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative
967,Finnish Bank of +àland will launch its long-term pension savings account at the beginning of June 2010 .,neutral,Neutral,"tensor([[ 0.3237,  0.3998, -0.4560]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.1183, 0.3568, 0.3008]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
968,"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",neutral,Neutral,"tensor([[ 0.0944,  0.2867, -0.7933]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.1451, 0.5371, 0.2368]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
969,Finnlines has six ships under construction in China with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 .,neutral,Neutral,"tensor([[-0.3084, -0.1034, -0.4568]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2261,  0.0292, -0.0296]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
970,Finnlines will announce in week 17 of 2006 what measures it will take to tackle the situation .,neutral,Negative,"tensor([[ 0.1279, -0.1599, -0.9808]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0822,  0.7789,  0.0104]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
971,"Following the issue , the new shares will constitute 10 percent of the firm 's capital .",neutral,Positive,"tensor([[-0.3953, -0.3365, -0.6357]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2337,  0.2800, -0.2408]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.296}",0.296,Positive
972,"Founded in 1923 , Finnair is one of the world 's oldest airlines and flies to 60 destinations with a fleet of 63 aircraft , employing 9,500 people .",neutral,Neutral,"tensor([[-0.2242,  0.3473, -0.0152]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1490,  0.5578, -0.1595]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
973,"Glaston 's share GLA1V is listed on the NASDAQ OMX Helsinki , Mid Cap List .",neutral,Neutral,"tensor([[-0.4648, -0.0566, -0.3410]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.2679, 0.6686, 0.2100]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.296}",0.296,Positive
974,Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 .,neutral,Negative,"tensor([[-0.4029,  0.2498, -0.2170]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.3313, 0.6581, 0.0022]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
975,GyPSii service supports ten different languages including Korean and Russian .,neutral,Neutral,"tensor([[-0.6893, -0.1074, -0.3657]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4312,  0.5233,  0.0128]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}",0.3612,Positive
